49, 83, 87, 100, 88, 77, 63, 35, 21, 10, 10, 23, 32, 47
90, 87, 62, 41, 19, 15, 10, 17, 38, 64, 91, 99, 100, 84
94, 97, 87, 60, 44, 19, 13, 10, 17, 41, 62, 89, 94, 100
16, 13, 23, 50, 66, 91, 97, 100, 93, 69, 48, 21, 16, 10
10, 18, 24, 31, 38, 44, 51, 60, 68, 72, 80, 88, 94, 100
100, 88, 82, 79, 70, 61, 60, 51, 46, 39, 31, 23, 16, 10
62, 96, 100, 113, 101, 90, 76, 48, 34, 23, 23, 36, 45, 60
99, 96, 71, 50, 28, 24, 19, 26, 47, 73, 100, 108, 109, 93
101, 104, 94, 67, 51, 26, 20, 17, 24, 48, 69, 96, 101, 107
23, 20, 30, 57, 73, 98, 104, 107, 100, 76, 55, 28, 23, 17
22, 30, 36, 43, 50, 56, 63, 72, 80, 84, 92, 100, 106, 112
105, 93, 87, 84, 75, 66, 65, 56, 51, 44, 36, 28, 21, 15
95, 33, 64, 15, 48, 93, 36, 83, 44, 55, 10, 59, 27, 71
63, 71, 23, 89, 58, 26, 57, 81, 57, 22, 28, 77, 94, 62
